material_id,cif,ef_per_atom,tc,superband_id,superband_formula,superband_cif_id,mp_material_id,cif_source,composition_key
superband-12507,"# generated using pymatgen
data_Mg1Ni2.967Ru0.033C1
_symmetry_space_group_name_H-M   Pm-3m
_cell_length_a   3.81020900
_cell_length_b   3.81020900
_cell_length_c   3.81020900
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   221
_chemical_formula_structural   Mg1Ni2.967Ru0.033C1
_chemical_formula_sum   'Mg1 Ni2.967 Ru0.033 C1'
_cell_volume   55.31544309
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-x, -y, -z'
  3  '-y, x, z'
  4  'y, -x, -z'
  5  '-x, -y, z'
  6  'x, y, -z'
  7  'y, -x, z'
  8  '-y, x, -z'
  9  'x, -y, -z'
  10  '-x, y, z'
  11  '-y, -x, -z'
  12  'y, x, z'
  13  '-x, y, -z'
  14  'x, -y, z'
  15  'y, x, -z'
  16  '-y, -x, z'
  17  'z, x, y'
  18  '-z, -x, -y'
  19  'z, -y, x'
  20  '-z, y, -x'
  21  'z, -x, -y'
  22  '-z, x, y'
  23  'z, y, -x'
  24  '-z, -y, x'
  25  '-z, x, -y'
  26  'z, -x, y'
  27  '-z, -y, -x'
  28  'z, y, x'
  29  '-z, -x, y'
  30  'z, x, -y'
  31  '-z, y, x'
  32  'z, -y, -x'
  33  'y, z, x'
  34  '-y, -z, -x'
  35  'x, z, -y'
  36  '-x, -z, y'
  37  '-y, z, -x'
  38  'y, -z, x'
  39  '-x, z, y'
  40  'x, -z, -y'
  41  '-y, -z, x'
  42  'y, z, -x'
  43  '-x, -z, -y'
  44  'x, z, y'
  45  'y, -z, -x'
  46  '-y, z, x'
  47  'x, -z, y'
  48  '-x, z, -y'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.00000000  0.00000000  0.00000000  1.0
  Ni  Ni1  3  0.00000000  0.50000000  0.50000000  0.989
  Ru  Ru2  3  0.00000000  0.50000000  0.50000000
  0.011000000000000001
  C  C3  1  0.50000000  0.50000000  0.50000000  1.0
",-0.1367049259999994,6.1,12507,C1Mg1Ni2.967Ru0.033,12512,mp-10700,3dsc_mp,C:0.2|Mg:0.2|Ni:0.5934|Ru:0.0066
superband-11819,"# generated using pymatgen
data_Ba1.93236715Ca0.96618357Cu1.93236715Hg0.96618357O6
_symmetry_space_group_name_H-M   P4/mmm
_cell_length_a   3.90483400
_cell_length_b   3.90483400
_cell_length_c   13.05860400
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   123
_chemical_formula_structural
Ba1.93236715Ca0.96618357Cu1.93236715Hg0.96618357O6
_chemical_formula_sum
'Ba1.93236715 Ca0.96618357 Cu1.93236715 Hg0.96618357 O6'
_cell_volume   199.11404926
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-x, -y, -z'
  3  '-y, x, z'
  4  'y, -x, -z'
  5  '-x, -y, z'
  6  'x, y, -z'
  7  'y, -x, z'
  8  '-y, x, -z'
  9  'x, -y, -z'
  10  '-x, y, z'
  11  '-y, -x, -z'
  12  'y, x, z'
  13  '-x, y, -z'
  14  'x, -y, z'
  15  'y, x, -z'
  16  '-y, -x, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  2  0.50000000  0.50000000  0.22990600  0.9661835749
  Ca  Ca1  1  0.50000000  0.50000000  0.50000000  0.9661835749
  Cu  Cu2  2  0.00000000  0.00000000  0.38508800  0.9661835749
  Hg  Hg3  1  0.00000000  0.00000000  0.00000000  0.9661835749
  O  O4  4  0.00000000  0.50000000  0.37893100  1.0
  O  O5  2  0.00000000  0.00000000  0.15414800  1.0
",-2.0147092504166664,127.0,11819,Ba2Ca1Cu2Hg1O6.21,15795,mp-6879,3dsc_mp,Ba:0.1638|Ca:0.0819001|Cu:0.1638|Hg:0.0819001|O:0.5086
superband-10993,"# generated using pymatgen
data_Lu0.007Zr0.993B12
_symmetry_space_group_name_H-M   Fm-3m
_cell_length_a   5.23882121
_cell_length_b   5.23882121
_cell_length_c   5.23882121
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   225
_chemical_formula_structural   Lu0.007Zr0.993B12
_chemical_formula_sum   'Lu0.007 Zr0.993 B12'
_cell_volume   101.66834022
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-x, -y, -z'
  3  '-y, -z, x+y+z'
  4  'y, z, -x-y-z'
  5  'z, -x-y-z, x'
  6  '-z, x+y+z, -x'
  7  'x+y+z, -x, -y'
  8  '-x-y-z, x, y'
  9  'y, x, -x-y-z'
  10  '-y, -x, x+y+z'
  11  '-z, -y, -x'
  12  'z, y, x'
  13  '-x-y-z, z, y'
  14  'x+y+z, -z, -y'
  15  '-x, x+y+z, -z'
  16  'x, -x-y-z, z'
  17  'z, x, y'
  18  '-z, -x, -y'
  19  'x+y+z, -y, -z'
  20  '-x-y-z, y, z'
  21  'x, z, -x-y-z'
  22  '-x, -z, x+y+z'
  23  '-y, x+y+z, -x'
  24  'y, -x-y-z, x'
  25  '-x-y-z, y, x'
  26  'x+y+z, -y, -x'
  27  '-x, -z, -y'
  28  'x, z, y'
  29  'y, -x-y-z, z'
  30  '-y, x+y+z, -z'
  31  '-z, -x, x+y+z'
  32  'z, x, -x-y-z'
  33  'y, z, x'
  34  '-y, -z, -x'
  35  '-z, x+y+z, -y'
  36  'z, -x-y-z, y'
  37  '-x-y-z, x, z'
  38  'x+y+z, -x, -z'
  39  '-x, -y, x+y+z'
  40  'x, y, -x-y-z'
  41  'x, -x-y-z, y'
  42  '-x, x+y+z, -y'
  43  '-y, -x, -z'
  44  'y, x, z'
  45  'z, y, -x-y-z'
  46  '-z, -y, x+y+z'
  47  'x+y+z, -z, -x'
  48  '-x-y-z, z, x'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.00000000  0.00000000  0.00000000  0.993
  Lu  Lu1  1  0.00000000  0.00000000  0.00000000  0.007
  B  B2  12  0.16091600  0.50000000  0.50000000  1.0
",-0.2119791638461532,5.97,10993,B12Lu0.007Zr0.993,11004,mp-1084,3dsc_mp,B:0.923077|Lu:0.000538462|Zr:0.0763846
superband-12905,"# generated using pymatgen
data_La1.2Ce0.8Ru4
_symmetry_space_group_name_H-M   F-43m
_cell_length_a   5.40720454
_cell_length_b   5.40720454
_cell_length_c   5.40720454
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   216
_chemical_formula_structural   La1.2Ce0.8Ru4
_chemical_formula_sum   'La1.2 Ce0.8 Ru4'
_cell_volume   111.79011332
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  'y, -x-y-z, x'
  3  '-x-y-z, z, y'
  4  'z, x, -x-y-z'
  5  'y, x, -x-y-z'
  6  '-x-y-z, y, z'
  7  'z, -x-y-z, x'
  8  'x, z, y'
  9  'z, y, -x-y-z'
  10  'x, -x-y-z, z'
  11  'y, z, x'
  12  '-x-y-z, x, y'
  13  '-x-y-z, x, z'
  14  'z, y, x'
  15  'x, -x-y-z, y'
  16  'y, z, -x-y-z'
  17  '-x-y-z, y, x'
  18  'z, -x-y-z, y'
  19  'x, z, -x-y-z'
  20  'y, x, z'
  21  'z, x, y'
  22  'x, y, -x-y-z'
  23  'y, -x-y-z, z'
  24  '-x-y-z, z, x'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  0.00000000  0.00000000  0.00000000  1.0
  Ce  Ce1  1  0.75000000  0.75000000  0.75000000  0.8
  La  La2  1  0.75000000  0.75000000  0.75000000  0.2
  Ru  Ru3  4  0.37513500  0.37513500  0.37513500  1.0
",-0.2109779849999995,0.73,12905,Ce0.4La0.6Ru2,12909,mp-1222913,3dsc_mp,Ce:0.133333|La:0.2|Ru:0.666667
superband-11032,"# generated using pymatgen
data_Li8B4Pd1.2Pt10.8
_symmetry_space_group_name_H-M   P4_332
_cell_length_a   6.84464000
_cell_length_b   6.84464000
_cell_length_c   6.84464000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   212
_chemical_formula_structural   Li8B4Pd1.2Pt10.8
_chemical_formula_sum   'Li8 B4 Pd1.2 Pt10.8'
_cell_volume   320.66520144
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-y+3/4, x+1/4, z+3/4'
  3  '-x+1/2, -y, z+1/2'
  4  'y+3/4, -x+3/4, z+1/4'
  5  'x+1/2, -y+1/2, -z'
  6  '-y+1/4, -x+1/4, -z+1/4'
  7  '-x, y+1/2, -z+1/2'
  8  'y+1/4, x+3/4, -z+3/4'
  9  'z, x, y'
  10  'z+3/4, -y+3/4, x+1/4'
  11  'z+1/2, -x+1/2, -y'
  12  'z+1/4, y+3/4, -x+3/4'
  13  '-z, x+1/2, -y+1/2'
  14  '-z+1/4, -y+1/4, -x+1/4'
  15  '-z+1/2, -x, y+1/2'
  16  '-z+3/4, y+1/4, x+3/4'
  17  'y, z, x'
  18  'x+1/4, z+3/4, -y+3/4'
  19  '-y, z+1/2, -x+1/2'
  20  '-x+3/4, z+1/4, y+3/4'
  21  '-y+1/2, -z, x+1/2'
  22  '-x+1/4, -z+1/4, -y+1/4'
  23  'y+1/2, -z+1/2, -x'
  24  'x+3/4, -z+3/4, y+1/4'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  8  0.05384600  0.44615400  0.55384600  1.0
  B  B1  4  0.12500000  0.87500000  0.37500000  1.0
  Pt  Pt2  12  0.06061800  0.62500000  0.18938200  0.9
  Pd  Pd3  12  0.06061800  0.62500000  0.18938200
  0.09999999999999999
",-0.5706453247222214,3.37,11032,B1Li2Pd0.3Pt2.7,11036,mp-20234,3dsc_mp,B:0.166667|Li:0.333333|Pd:0.05|Pt:0.45
superband-14791,"# generated using pymatgen
data_Re0.86Mo1.14
_symmetry_space_group_name_H-M   Cmmm
_cell_length_a   2.71936353
_cell_length_b   2.71936353
_cell_length_c   4.45765100
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   109.67130475
_symmetry_Int_Tables_number   65
_chemical_formula_structural   Re0.86Mo1.14
_chemical_formula_sum   'Re0.86 Mo1.14'
_cell_volume   31.04024606
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-x, -y, -z'
  3  '-x, -y, z'
  4  'x, y, -z'
  5  'y, x, -z'
  6  '-y, -x, z'
  7  '-y, -x, -z'
  8  'y, x, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Re  Re0  1  0.50000000  0.50000000  0.50000000  0.86
  Mo  Mo1  1  0.50000000  0.50000000  0.50000000  0.14
  Mo  Mo2  1  0.00000000  0.00000000  0.00000000  1.0
",0.1047268675000001,14.0,14791,Mo0.57Re0.43,14794,mp-1219485,3dsc_mp,Mo:0.57|Re:0.43
superband-11984,"# generated using pymatgen
data_Ba4Pr0.3Y1.7Cu6O13
_symmetry_space_group_name_H-M   Pmmm
_cell_length_a   3.90917500
_cell_length_b   7.72064000
_cell_length_c   11.97204500
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   47
_chemical_formula_structural   Ba4Pr0.3Y1.7Cu6O13
_chemical_formula_sum   'Ba4 Pr0.3 Y1.7 Cu6 O13'
_cell_volume   361.33227530
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-x, -y, -z'
  3  '-x, -y, z'
  4  'x, y, -z'
  5  'x, -y, -z'
  6  '-x, y, z'
  7  '-x, y, -z'
  8  'x, -y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  4  0.50000000  0.24276900  0.18770000  1.0
  Y  Y1  2  0.50000000  0.25097700  0.50000000  0.85
  Pr  Pr2  2  0.50000000  0.25097700  0.50000000  0.15
  Cu  Cu3  2  0.00000000  0.00000000  0.35984500  1.0
  Cu  Cu4  2  0.00000000  0.50000000  0.35996700  1.0
  Cu  Cu5  1  0.00000000  0.00000000  0.00000000  1.0
  Cu  Cu6  1  0.00000000  0.50000000  0.00000000  1.0
  O  O7  4  0.00000000  0.25030600  0.37974200  1.0
  O  O8  2  0.00000000  0.00000000  0.15844200  1.0
  O  O9  2  0.00000000  0.50000000  0.14941500  1.0
  O  O10  2  0.50000000  0.00000000  0.37908600  1.0
  O  O11  2  0.50000000  0.50000000  0.37929700  1.0
  O  O12  1  0.50000000  0.00000000  0.00000000  1.0
",-2.2063284011333337,35.8,11984,Ba2Cu3Pr0.15Y0.85O6.5,15850,mp-20897,3dsc_mp,Ba:0.16|Cu:0.24|O:0.52|Pr:0.012|Y:0.068
superband-13758,"# generated using pymatgen
data_Fe2Te0.8Se0.8
_symmetry_space_group_name_H-M   P4mm
_cell_length_a   3.75539800
_cell_length_b   3.75539800
_cell_length_c   5.93771700
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   99
_chemical_formula_structural   Fe2Te0.8Se0.8
_chemical_formula_sum   'Fe2 Te0.8 Se0.8'
_cell_volume   83.73970680
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-y, x, z'
  3  '-x, -y, z'
  4  'y, -x, z'
  5  '-x, y, z'
  6  'y, x, z'
  7  'x, -y, z'
  8  '-y, -x, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  2  0.00000000  0.50000000  0.01228300  1.0
  Te  Te1  1  0.50000000  0.50000000  0.73851800  0.8
  Se  Se2  1  0.00000000  0.00000000  0.23691600  0.8
",-0.3469333980859375,14.4,13758,Fe1Se0.4Te0.4,13760,mp-1225136,3dsc_mp,Fe:0.555556|Se:0.222222|Te:0.222222
superband-13269,"# generated using pymatgen
data_Cr6.4Os1.6
_symmetry_space_group_name_H-M   Pm-3n
_cell_length_a   4.64823000
_cell_length_b   4.64823000
_cell_length_c   4.64823000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   223
_chemical_formula_structural   Cr6.4Os1.6
_chemical_formula_sum   'Cr6.4 Os1.6'
_cell_volume   100.42985322
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-x, -y, -z'
  3  '-y+1/2, x+1/2, z+1/2'
  4  'y+1/2, -x+1/2, -z+1/2'
  5  '-x, -y, z'
  6  'x, y, -z'
  7  'y+1/2, -x+1/2, z+1/2'
  8  '-y+1/2, x+1/2, -z+1/2'
  9  'x, -y, -z'
  10  '-x, y, z'
  11  '-y+1/2, -x+1/2, -z+1/2'
  12  'y+1/2, x+1/2, z+1/2'
  13  '-x, y, -z'
  14  'x, -y, z'
  15  'y+1/2, x+1/2, -z+1/2'
  16  '-y+1/2, -x+1/2, z+1/2'
  17  'z, x, y'
  18  '-z, -x, -y'
  19  'z+1/2, -y+1/2, x+1/2'
  20  '-z+1/2, y+1/2, -x+1/2'
  21  'z, -x, -y'
  22  '-z, x, y'
  23  'z+1/2, y+1/2, -x+1/2'
  24  '-z+1/2, -y+1/2, x+1/2'
  25  '-z, x, -y'
  26  'z, -x, y'
  27  '-z+1/2, -y+1/2, -x+1/2'
  28  'z+1/2, y+1/2, x+1/2'
  29  '-z, -x, y'
  30  'z, x, -y'
  31  '-z+1/2, y+1/2, x+1/2'
  32  'z+1/2, -y+1/2, -x+1/2'
  33  'y, z, x'
  34  '-y, -z, -x'
  35  'x+1/2, z+1/2, -y+1/2'
  36  '-x+1/2, -z+1/2, y+1/2'
  37  '-y, z, -x'
  38  'y, -z, x'
  39  '-x+1/2, z+1/2, y+1/2'
  40  'x+1/2, -z+1/2, -y+1/2'
  41  '-y, -z, x'
  42  'y, z, -x'
  43  '-x+1/2, -z+1/2, -y+1/2'
  44  'x+1/2, z+1/2, y+1/2'
  45  'y, -z, -x'
  46  '-y, z, x'
  47  'x+1/2, -z+1/2, y+1/2'
  48  '-x+1/2, z+1/2, -y+1/2'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  6  0.00000000  0.50000000  0.25000000  1.0
  Os  Os1  2  0.00000000  0.00000000  0.00000000  0.8
  Cr  Cr2  2  0.00000000  0.00000000  0.00000000  0.2
",0.025919120000001,2.5,13269,Cr0.8Os0.2,13261,mp-416,3dsc_mp,Cr:0.8|Os:0.2
superband-15454,"# generated using pymatgen
data_Ru0.8Rh3.2Se8
_symmetry_space_group_name_H-M   Pa-3
_cell_length_a   6.09980500
_cell_length_b   6.09980500
_cell_length_c   6.09980500
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   205
_chemical_formula_structural   Ru0.8Rh3.2Se8
_chemical_formula_sum   'Ru0.8 Rh3.2 Se8'
_cell_volume   226.95923285
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-x, -y, -z'
  3  '-x+1/2, -y, z+1/2'
  4  'x+1/2, y, -z+1/2'
  5  'x+1/2, -y+1/2, -z'
  6  '-x+1/2, y+1/2, z'
  7  '-x, y+1/2, -z+1/2'
  8  'x, -y+1/2, z+1/2'
  9  'z, x, y'
  10  '-z, -x, -y'
  11  'z+1/2, -x+1/2, -y'
  12  '-z+1/2, x+1/2, y'
  13  '-z, x+1/2, -y+1/2'
  14  'z, -x+1/2, y+1/2'
  15  '-z+1/2, -x, y+1/2'
  16  'z+1/2, x, -y+1/2'
  17  'y, z, x'
  18  '-y, -z, -x'
  19  '-y, z+1/2, -x+1/2'
  20  'y, -z+1/2, x+1/2'
  21  '-y+1/2, -z, x+1/2'
  22  'y+1/2, z, -x+1/2'
  23  'y+1/2, -z+1/2, -x'
  24  '-y+1/2, z+1/2, x'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Rh  Rh0  4  0.00000000  0.00000000  0.00000000  0.8
  Ru  Ru1  4  0.00000000  0.00000000  0.00000000  0.2
  Se  Se2  8  0.12192800  0.62192800  0.87807200  1.0
",-0.7087368082291666,1.33,15454,Rh0.8Ru0.2Se2,15824,mp-983,3dsc_mp,Rh:0.266667|Ru:0.0666667|Se:0.666667
